sku;pn_final;PART NO.;designation_final;DESIGNATION;sust_hierarchie;hierarchie_final;sust_new_part_number;new_pn_final;sust_superseded_list;subst_pnlist_final;measurement_final;weight_final;synthetic_source;data_quality;synthetic_parent_id;synthetic_parent_pn;synthetic_parent_engine;synthetic_child_id;synthetic_child_pn;synthetic_child_engine;dedupe_trace;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
135M27020/1;135M27020/1;135M27020/1;UNION;UNION;New;New;;;;;;0.051 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001989;301;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
136M52010/1;136M52010/1;136M52010/1;BRACKET L H:100;BRACKET L H:100;New;New;;;;;;0.048 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001705;257;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
136M55056/1;136M55056/1;136M55056/1;STRAP 75 X20;STRAP 75 X20;New;New;136M55056/1;136M55056/1;135M55009/1;135M55009/1;;0.06 KGM;orphan_superseded_new;unknown_new_from_superseded;;;;RB-12V4000M53-000732;135M55009/1;12V4000M53;;import;synthetic_new_from_orphan_superseded;true;1;12V4000M53;RB-12V4000M53-000732;111;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;synthetic_new_from_orphan_superseded
137M13001/1;137M13001/1;137M13001/1;BRACKET;BRACKET;New;New;;;;;;0.13 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001744;258;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000359;000000000359;000000000359;HEX SCREW;HEX SCREW;New;New;;;;;M 16 X280;0.4 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001463;231;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000360;000000000360;000000000360;HEX SCREW;HEX SCREW;New;New;;;;;M 16 X180;0.27 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001268;208;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
400X230X111;400X230X111;400X230X111;TERMINAL BOX (LXBXH);TERMINAL BOX (LXBXH);New;New;;;;;;5,520 KG;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002051;319;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000403;000000000403;000000000403;NUT ADEC;NUT ADEC;New;New;000000000403;000000000403;200439016200;200439016200;M 16 X 1,5;0.018 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-000506;89;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
524SK0789;524SK0789;524SK0789;CLAMP CHARGED AIR COOLANT TUBE;CLAMP CHARGED AIR COOLANT TUBE;New;New;;;;;;0.506 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M61;RB-16V4000M61-001658;247;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
535D01022/1;535D01022/1;535D01022/1;SIGHT GLASS;SIGHT GLASS;New;New;;;;;;0.257 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;20V4000M93;RB-20V4000M93-002914;318;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
